customer_id,operator,circle,city_tier,age,gender,plan_type,device_type,tenure_months,monthly_recharge_inr,plan_validity_days,days_since_last_recharge,payment_channel,ott_bundle,data_gb_month,voice_minutes_month,sms_per_month,recharge_change_pct,data_change_pct,dual_sim,five_g_area,call_drop_rate_pct,network_complaints_3m,care_calls_3m,churn
IN100042,Jio,Bihar,Metro,47,Female,Prepaid,4G smartphone,92,371,28,15,UPI app,0,9.6,188,23,-14.9,10.7,0,1,0.5,0,1,0
IN100043,Airtel,Karnataka,Tier-3,43,Female,Prepaid,4G smartphone,18,283,56,21,Retail shop,0,16.1,455,18,4.4,-12.3,0,0,3.3,1,1,1
IN100044,Vi,Rajasthan,Tier-3,18,Male,Prepaid,Feature phone,31,175,84,14,Retail shop,1,1.5,471,17,24.1,-24.2,1,1,2.7,0,0,0
IN100045,Vi,Tamil Nadu,Rural,40,Male,Prepaid,4G smartphone,32,181,365,52,UPI app,0,15.2,384,23,-4.7,-19.5,0,0,4.0,1,0,0
IN100046,Jio,Delhi,Metro,31,Male,Prepaid,4G smartphone,31,448,56,9,Retail shop,0,7.9,450,12,-32.0,2.0,0,1,0.5,0,3,0
IN100047,Airtel,Bihar,Tier-2,30,Male,Prepaid,4G smartphone,19,213,28,19,Retail shop,1,28.0,402,18,-0.8,26.2,1,1,2.2,0,1,0
IN100048,Jio,Maharashtra,Tier-3,36,Male,Prepaid,4G smartphone,8,177,28,13,Operator app,0,12.6,424,17,8.5,18.1,0,1,2.1,1,1,0
IN100049,Airtel,Karnataka,Rural,18,Male,Prepaid,4G smartphone,58,271,56,14,UPI app,0,14.7,317,25,4.8,13.1,0,0,5.3,0,0,0
IN100050,Airtel,Delhi,Rural,31,Female,Prepaid,4G smartphone,4,145,84,18,UPI app,0,8.0,237,14,-18.1,-2.4,1,0,1.7,0,1,0
IN100051,Airtel,Mumbai,Rural,32,Male,Prepaid,4G smartphone,22,128,365,39,Operator app,0,32.5,319,16,48.8,-15.1,0,0,4.8,2,1,0
IN100052,Vi,Mumbai,Tier-3,32,Female,Prepaid,5G smartphone,42,149,28,9,Operator app,0,58.1,400,27,5.7,3.9,1,0,4.0,1,3,0
IN100053,Jio,Bihar,Tier-3,18,Male,Prepaid,4G smartphone,5,555,28,5,Retail shop,0,23.7,33,14,-2.7,48.8,0,0,2.0,0,1,0
IN100054,Jio,Mumbai,Rural,36,Female,Prepaid,5G smartphone,17,272,84,13,Retail shop,0,66.4,177,27,-2.0,-39.0,0,0,2.9,1,1,1
IN100055,Vi,Mumbai,Rural,42,Female,Prepaid,5G smartphone,19,238,28,2,UPI app,0,41.0,236,19,-5.3,7.8,1,0,3.3,2,1,0
IN100056,Jio,Rajasthan,Rural,36,Male,Prepaid,4G smartphone,79,138,28,6,Retail shop,1,9.9,124,21,2.2,10.5,1,0,2.4,0,1,0
IN100057,Jio,Rajasthan,Rural,29,Male,Postpaid,5G smartphone,9,523,30,4,Auto-debit,0,19.3,344,13,-31.2,31.4,0,0,1.5,1,0,0
IN100058,Airtel,Karnataka,Rural,58,Female,Prepaid,4G smartphone,1,347,28,19,UPI app,0,15.8,0,21,-1.0,-3.1,0,0,4.0,1,4,0
IN100059,Airtel,West Bengal,Metro,22,Female,Prepaid,4G smartphone,26,340,28,10,Operator app,1,16.7,409,21,-0.5,-35.5,0,1,2.1,0,1,1
IN100060,Jio,Maharashtra,Tier-2,39,Male,Prepaid,4G smartphone,43,171,28,17,Operator app,0,15.4,298,17,-17.7,-16.3,0,1,1.7,3,2,0
IN100061,Jio,Maharashtra,Rural,34,Male,Prepaid,4G smartphone,70,231,365,133,UPI app,0,5.8,378,14,11.9,-4.4,0,0,3.1,1,1,0
IN100062,Jio,Tamil Nadu,Tier-3,52,Male,Prepaid,4G smartphone,14,204,28,25,UPI app,0,18.7,520,22,28.0,5.9,0,0,5.2,0,0,0
IN100063,Jio,Gujarat,Metro,35,Male,Prepaid,5G smartphone,22,314,84,3,UPI app,0,15.7,467,20,9.7,28.3,0,1,3.4,2,2,0
IN100064,Jio,Rajasthan,Tier-3,38,Female,Prepaid,5G smartphone,3,154,28,7,Retail shop,0,49.3,167,24,-28.2,36.2,1,0,5.2,1,2,0
IN100065,Jio,Gujarat,Tier-3,37,Male,Prepaid,4G smartphone,23,165,365,249,Retail shop,0,8.5,210,22,-11.9,-13.5,0,0,3.9,1,0,1
IN100066,Jio,Bihar,Rural,21,Male,Prepaid,5G smartphone,3,162,28,7,UPI app,0,52.6,225,18,13.7,-7.2,0,0,2.3,0,0,0
IN100067,Airtel,Mumbai,Rural,23,Female,Postpaid,4G smartphone,1,335,30,7,UPI app,0,17.7,760,14,1.7,-24.7,0,0,1.9,0,0,0
IN100068,Airtel,West Bengal,Metro,29,Female,Postpaid,4G smartphone,75,673,30,3,Operator app,1,10.3,87,21,-18.8,5.7,1,1,0.8,1,0,0
IN100069,Jio,Bihar,Tier-2,41,Male,Prepaid,4G smartphone,22,198,56,14,UPI app,0,20.3,303,21,-10.9,-6.3,0,0,0.9,0,0,0
IN100070,Airtel,Maharashtra,Metro,34,Female,Prepaid,4G smartphone,18,532,28,10,Operator app,0,32.3,515,25,11.3,-12.2,0,1,3.3,0,1,0
IN100071,Jio,Bihar,Rural,29,Female,Prepaid,4G smartphone,22,228,28,35,UPI app,0,18.8,337,28,17.5,4.6,1,0,3.9,1,1,0
IN100072,Vi,Tamil Nadu,Metro,45,Male,Prepaid,5G smartphone,67,391,28,6,UPI app,0,18.8,308,16,-10.6,32.9,0,1,1.5,2,4,0
IN100073,Airtel,Rajasthan,Tier-3,18,Male,Prepaid,4G smartphone,35,205,28,10,UPI app,0,12.8,560,21,-15.1,-40.9,0,0,2.6,0,0,0
IN100074,Airtel,Bihar,Tier-3,19,Female,Postpaid,5G smartphone,111,245,30,56,Operator app,1,26.3,85,10,15.3,-5.4,1,1,1.5,1,0,0
IN100075,Airtel,West Bengal,Tier-3,18,Male,Postpaid,4G smartphone,35,664,30,37,Auto-debit,1,10.9,426,17,17.8,16.3,0,0,3.1,0,0,0
IN100076,Airtel,Gujarat,Tier-3,44,Male,Prepaid,Feature phone,12,207,28,19,UPI app,0,0.2,237,16,-21.0,41.1,0,0,5.0,1,0,0
IN100077,Jio,Maharashtra,Tier-3,31,Female,Prepaid,5G smartphone,19,249,56,33,Retail shop,0,82.5,383,18,-55.7,31.5,0,0,4.0,2,0,0
IN100078,Jio,Tamil Nadu,Tier-3,41,Male,Prepaid,4G smartphone,28,210,28,10,UPI app,0,11.1,516,22,-13.8,51.4,0,0,4.0,3,2,1
IN100079,Vi,Maharashtra,Metro,30,Male,Prepaid,5G smartphone,60,137,28,18,Retail shop,0,13.5,261,20,0.2,22.0,1,1,0.9,0,0,0
IN100080,Jio,Bihar,Tier-2,42,Male,Prepaid,4G smartphone,35,216,28,11,UPI app,0,8.4,331,26,-29.0,20.0,1,1,1.1,1,2,0
IN100081,Jio,Delhi,Tier-3,30,Male,Prepaid,4G smartphone,10,161,84,3,UPI app,0,10.6,508,19,1.4,22.3,0,0,1.2,0,1,0
IN100082,Vi,Karnataka,Tier-2,36,Female,Prepaid,5G smartphone,26,270,28,9,UPI app,1,6.3,109,23,13.9,-25.6,0,0,4.4,1,1,0
IN100083,Airtel,Uttar Pradesh,Rural,34,Male,Prepaid,4G smartphone,23,225,28,7,UPI app,0,23.5,461,15,37.9,-27.8,0,0,3.1,0,1,0
IN100084,Airtel,Tamil Nadu,Tier-2,35,Male,Prepaid,4G smartphone,28,535,28,8,UPI app,0,21.2,263,25,-15.9,-27.9,1,0,1.0,1,1,1
IN100085,Airtel,West Bengal,Rural,48,Female,Prepaid,4G smartphone,8,226,56,22,UPI app,0,17.7,490,25,-13.7,27.6,1,0,2.6,0,0,1
IN100086,Jio,Tamil Nadu,Metro,18,Female,Prepaid,4G smartphone,65,246,84,21,Operator app,0,8.5,322,20,14.1,10.2,0,1,2.2,0,0,0
IN100087,Jio,West Bengal,Rural,31,Male,Postpaid,5G smartphone,10,379,30,23,Operator app,0,47.6,270,15,3.9,-2.0,0,0,5.7,1,2,0
IN100088,Airtel,Mumbai,Metro,33,Male,Prepaid,4G smartphone,4,359,56,54,Retail shop,0,13.7,374,27,-2.7,3.8,0,1,0.9,0,1,0
IN100089,Jio,Tamil Nadu,Tier-3,32,Male,Prepaid,4G smartphone,16,290,28,24,UPI app,0,31.6,529,23,-3.3,26.8,0,0,1.6,0,1,0
IN100090,Airtel,West Bengal,Tier-2,28,Female,Prepaid,4G smartphone,4,162,84,15,UPI app,0,5.5,284,15,-46.9,-11.4,0,1,2.0,3,3,1
IN100091,Jio,Uttar Pradesh,Tier-3,26,Male,Prepaid,4G smartphone,19,198,84,84,Retail shop,0,10.0,274,22,-39.2,37.8,0,0,2.2,0,1,0
IN100092,Jio,Gujarat,Tier-2,47,Male,Prepaid,4G smartphone,10,238,28,9,Operator app,0,9.2,527,16,16.4,-19.4,1,1,1.5,0,0,0
IN100093,Jio,West Bengal,Rural,31,Female,Prepaid,4G smartphone,20,109,365,661,Retail shop,0,8.5,334,24,-8.8,-1.5,1,0,2.0,1,2,1
IN100094,Airtel,Tamil Nadu,Tier-3,56,Female,Prepaid,4G smartphone,12,277,28,40,Operator app,0,20.7,296,13,-24.0,-6.3,0,0,2.1,0,0,0
IN100095,Jio,Uttar Pradesh,Rural,37,Female,Prepaid,4G smartphone,9,207,28,3,UPI app,0,29.0,304,13,-34.0,-12.4,1,1,2.3,1,1,1
IN100096,Jio,Bihar,Tier-3,29,Male,Prepaid,4G smartphone,34,201,56,22,UPI app,0,23.3,491,19,-16.9,-3.5,1,0,1.4,1,2,0
IN100097,Airtel,Bihar,Tier-3,37,Female,Prepaid,5G smartphone,1,235,28,6,Retail shop,0,32.1,468,27,8.6,-14.0,1,1,4.3,1,1,0
IN100098,Airtel,Delhi,Rural,33,Male,Prepaid,4G smartphone,33,241,365,220,Operator app,0,18.2,207,22,13.1,19.8,0,0,5.2,0,0,0
IN100099,BSNL,Gujarat,Tier-2,45,Female,Prepaid,Feature phone,18,495,28,17,UPI app,0,0.7,265,23,-38.7,-14.7,0,1,1.7,1,0,0
IN100100,Vi,Uttar Pradesh,Tier-3,20,Male,Prepaid,4G smartphone,55,271,56,51,UPI app,0,10.2,484,20,-15.5,-10.3,1,0,3.4,0,1,1
IN100101,Jio,Delhi,Tier-2,18,Female,Prepaid,4G smartphone,19,168,28,30,UPI app,0,17.6,423,14,13.9,-34.9,1,0,2.8,1,1,1
IN100102,Airtel,West Bengal,Tier-3,35,Female,Prepaid,4G smartphone,27,579,28,3,UPI app,0,14.8,0,29,15.9,40.4,1,1,1.1,1,1,0
IN100103,BSNL,Delhi,Metro,40,Female,Prepaid,4G smartphone,22,202,56,74,UPI app,0,6.7,383,21,-7.0,-39.2,1,1,0.7,0,0,0
IN100104,Vi,Tamil Nadu,Tier-2,34,Female,Prepaid,5G smartphone,40,288,28,11,UPI app,0,96.2,326,27,-20.7,-16.4,0,1,3.2,1,0,1
IN100105,Jio,West Bengal,Tier-3,38,Male,Prepaid,5G smartphone,30,200,56,22,Operator app,0,38.6,508,22,0.5,32.6,1,0,1.5,1,1,0
IN100106,Jio,Rajasthan,Tier-2,37,Male,Prepaid,4G smartphone,120,241,365,29,Retail shop,0,9.6,588,22,-23.6,-4.6,1,1,2.9,0,1,0
IN100107,Airtel,Uttar Pradesh,Tier-2,18,Male,Postpaid,Feature phone,1,659,30,14,Operator app,0,0.4,294,20,0.6,13.3,0,1,1.7,0,0,1
IN100108,Airtel,Rajasthan,Tier-2,34,Female,Prepaid,5G smartphone,120,295,56,14,Retail shop,0,41.3,743,17,23.5,-19.8,0,1,1.8,2,2,0
IN100109,Vi,Rajasthan,Rural,45,Male,Prepaid,4G smartphone,28,311,56,5,Retail shop,0,18.2,80,21,19.9,-33.5,0,0,4.0,3,2,0
IN100110,Jio,Uttar Pradesh,Tier-2,33,Male,Prepaid,4G smartphone,72,200,84,32,UPI app,0,14.7,325,27,-23.1,-3.5,0,0,2.7,0,0,0
IN100111,Airtel,Mumbai,Tier-2,18,Male,Prepaid,4G smartphone,24,289,28,8,UPI app,0,33.7,350,23,-6.0,28.7,0,1,0.7,0,1,0
IN100112,Airtel,West Bengal,Rural,28,Female,Postpaid,5G smartphone,11,544,30,33,Auto-debit,0,27.2,453,19,30.1,-34.5,0,0,1.5,0,1,0
IN100113,Jio,Delhi,Rural,37,Male,Prepaid,Feature phone,22,437,56,56,UPI app,0,0.7,491,24,18.5,-5.3,0,0,1.6,0,1,0
IN100114,Airtel,Rajasthan,Metro,49,Female,Prepaid,5G smartphone,9,357,28,8,UPI app,0,53.7,522,21,-27.7,-15.8,0,1,1.2,1,2,0
IN100115,Vi,Tamil Nadu,Tier-3,18,Male,Prepaid,5G smartphone,5,144,56,29,UPI app,0,50.5,464,15,9.5,7.5,1,0,1.2,1,1,0
IN100116,Jio,Gujarat,Metro,35,Male,Prepaid,4G smartphone,107,485,84,74,Operator app,1,13.6,397,25,-8.2,-0.7,0,1,1.0,0,0,0
IN100117,Jio,Gujarat,Rural,22,Male,Postpaid,5G smartphone,40,376,30,3,Auto-debit,0,16.7,320,18,-15.1,-1.9,1,0,3.8,2,0,0
IN100118,Jio,Uttar Pradesh,Tier-2,37,Male,Prepaid,4G smartphone,8,186,28,10,UPI app,0,5.3,174,19,29.8,-17.7,0,1,1.6,0,1,0
IN100119,Jio,Bihar,Tier-2,37,Female,Postpaid,5G smartphone,39,918,30,9,Operator app,0,32.3,308,19,34.0,29.8,0,0,1.5,3,0,0
IN100120,Jio,Gujarat,Tier-2,29,Male,Prepaid,4G smartphone,19,263,56,3,UPI app,0,18.0,325,31,-31.2,28.0,1,1,0.7,0,1,0
IN100121,Jio,Rajasthan,Tier-3,38,Female,Prepaid,4G smartphone,104,201,28,7,Retail shop,0,11.0,151,22,17.9,-16.4,0,0,0.7,0,1,0
IN100122,Airtel,Delhi,Metro,43,Male,Prepaid,4G smartphone,3,541,28,1,UPI app,0,16.9,467,17,45.4,10.9,0,1,2.7,0,0,0
IN100123,Jio,Uttar Pradesh,Rural,30,Male,Prepaid,4G smartphone,56,160,28,3,UPI app,0,26.1,236,17,17.1,-9.4,1,0,3.3,2,1,0
IN100124,Airtel,Bihar,Tier-2,18,Female,Prepaid,4G smartphone,67,210,28,7,Operator app,0,9.4,436,22,-34.7,1.1,0,1,0.7,0,2,0
IN100125,Jio,Rajasthan,Tier-3,46,Female,Prepaid,4G smartphone,23,256,84,53,Operator app,0,11.0,402,22,6.6,15.2,0,0,2.9,1,0,0
IN100126,Airtel,Uttar Pradesh,Rural,40,Male,Prepaid,4G smartphone,1,99,84,9,Operator app,0,7.0,168,19,-5.5,0.9,1,0,4.2,0,1,1
IN100127,Airtel,Delhi,Metro,37,Male,Postpaid,5G smartphone,15,727,30,15,UPI app,1,25.1,204,23,-32.7,-41.5,0,1,0.9,0,0,0
IN100128,Airtel,Karnataka,Metro,25,Male,Prepaid,5G smartphone,19,308,28,21,UPI app,1,43.2,251,20,-0.9,16.7,1,0,2.8,0,1,0
IN100129,Jio,Maharashtra,Tier-2,41,Female,Prepaid,4G smartphone,18,186,84,19,UPI app,0,12.7,275,26,-21.0,12.4,1,1,1.4,0,0,0
IN100130,Airtel,West Bengal,Rural,52,Male,Prepaid,4G smartphone,117,190,84,52,Retail shop,0,14.9,566,19,5.2,-65.2,0,0,2.3,2,0,0
IN100131,Vi,Bihar,Metro,30,Male,Prepaid,5G smartphone,13,328,28,16,Retail shop,1,17.5,383,30,8.9,24.0,1,1,1.5,1,1,0
IN100132,Jio,Delhi,Rural,32,Female,Postpaid,5G smartphone,48,433,30,10,Auto-debit,0,63.1,242,29,-22.5,13.0,0,0,4.2,0,0,0
IN100133,Airtel,Tamil Nadu,Tier-3,21,Male,Prepaid,4G smartphone,32,287,28,7,Operator app,0,24.6,454,17,9.5,5.5,1,0,3.4,1,1,0
IN100134,Jio,Karnataka,Tier-3,24,Female,Prepaid,5G smartphone,107,237,56,18,Operator app,0,19.0,579,25,-13.8,-14.5,0,1,2.5,1,2,0
IN100135,Airtel,Bihar,Tier-3,21,Male,Prepaid,Feature phone,2,203,56,93,UPI app,0,0.5,274,19,-8.8,-11.7,0,0,1.0,0,1,0
IN100136,BSNL,Mumbai,Metro,33,Female,Prepaid,Feature phone,23,383,28,4,UPI app,0,0.6,339,13,25.9,-17.8,0,1,1.7,0,1,0
IN100137,Jio,Karnataka,Tier-2,28,Female,Postpaid,4G smartphone,46,634,30,39,Auto-debit,1,43.1,257,17,-41.5,-23.8,0,1,1.7,2,4,0
IN100138,Vi,Karnataka,Rural,35,Female,Prepaid,4G smartphone,1,548,84,15,Retail shop,0,24.5,438,20,2.9,-30.2,1,0,4.1,4,1,1
IN100139,Airtel,Mumbai,Tier-2,23,Female,Prepaid,5G smartphone,53,360,28,18,Operator app,0,56.9,424,15,-23.6,-31.3,0,0,1.6,1,0,0
IN100140,Jio,West Bengal,Tier-3,30,Male,Prepaid,5G smartphone,6,179,84,6,Retail shop,0,30.7,389,18,-16.3,9.7,0,0,1.4,0,1,0
IN100141,Jio,Maharashtra,Rural,22,Male,Prepaid,5G smartphone,41,105,28,2,UPI app,0,32.4,364,24,8.8,-10.9,0,0,4.2,0,1,0
IN100142,BSNL,Maharashtra,Metro,33,Male,Prepaid,4G smartphone,88,236,365,397,UPI app,0,18.5,164,19,4.3,8.7,0,1,0.6,0,0,0
IN100143,Jio,Bihar,Tier-2,18,Female,Prepaid,5G smartphone,12,123,28,3,UPI app,0,26.0,121,28,-19.2,3.1,0,0,2.0,0,2,0
IN100144,Jio,Uttar Pradesh,Tier-2,33,Male,Prepaid,5G smartphone,1,318,28,20,UPI app,0,55.1,346,24,-28.1,19.2,0,1,1.6,1,1,1
IN100145,Airtel,Tamil Nadu,Metro,29,Female,Prepaid,4G smartphone,46,270,28,14,Operator app,0,13.8,178,17,-3.4,5.2,0,1,2.7,0,1,0
IN100146,Airtel,Tamil Nadu,Rural,33,Female,Prepaid,Feature phone,29,146,84,33,UPI app,0,0.6,385,16,29.6,9.5,0,0,2.3,2,0,0
IN100147,Jio,Rajasthan,Rural,18,Male,Prepaid,5G smartphone,42,236,56,38,UPI app,0,16.7,134,17,-16.3,-6.5,0,0,6.2,0,0,1
IN100148,Jio,Maharashtra,Tier-2,38,Female,Prepaid,4G smartphone,1,221,84,55,UPI app,0,9.9,270,22,13.1,-22.3,0,0,1.1,1,0,0
IN100149,Airtel,Mumbai,Rural,29,Female,Prepaid,5G smartphone,6,220,28,11,Operator app,0,23.3,280,14,-5.8,13.7,0,0,2.8,0,0,0
IN100150,Vi,West Bengal,Metro,34,Female,Prepaid,4G smartphone,28,273,84,3,UPI app,0,19.5,0,23,-9.3,-20.4,0,1,2.3,1,1,0
IN100151,Vi,Gujarat,Rural,18,Male,Prepaid,4G smartphone,5,197,28,10,Retail shop,0,28.4,217,20,1.4,27.7,0,0,2.8,2,0,0
IN100152,Airtel,Karnataka,Rural,19,Male,Prepaid,5G smartphone,1,301,28,38,UPI app,0,17.2,389,22,-8.2,-63.2,1,0,4.1,1,3,1
IN100153,Jio,Maharashtra,Tier-2,28,Female,Prepaid,4G smartphone,99,347,365,79,Retail shop,0,12.0,582,18,3.6,-15.9,0,1,3.7,1,0,0
IN100154,Airtel,Maharashtra,Tier-3,45,Male,Prepaid,4G smartphone,11,356,28,8,UPI app,0,18.6,575,28,-30.0,-24.9,1,0,1.5,0,0,1
IN100155,Jio,Mumbai,Rural,37,Male,Prepaid,Feature phone,17,216,28,2,UPI app,0,0.6,383,17,-23.5,-26.2,0,0,2.8,2,4,1
IN100156,Airtel,Delhi,Tier-2,33,Female,Prepaid,4G smartphone,25,133,56,16,Retail shop,0,33.5,394,17,7.1,35.1,0,0,0.6,0,0,0
IN100157,Jio,Gujarat,Tier-2,22,Male,Postpaid,4G smartphone,9,454,30,12,Auto-debit,1,21.5,485,12,6.4,21.0,0,1,1.5,1,1,0
IN100158,Jio,West Bengal,Tier-3,20,Male,Prepaid,4G smartphone,38,122,28,7,UPI app,0,17.1,196,20,-12.8,26.6,0,0,1.1,2,0,1
IN100159,Jio,Gujarat,Metro,34,Male,Prepaid,Feature phone,1,413,84,32,UPI app,1,0.5,138,15,7.0,23.3,1,1,0.4,0,0,0
